연도,시군,코드,재배면적(ha),생산량(M/T),작황(kg/10a)
2009,전라북도_정읍시,45180,82,902,1100
2010,전라북도_정읍시,45180,83.5,878,1052
2011,전라북도_정읍시,45180,20,210,1052
2012,전라북도_정읍시,45180,20.5,215,1078
2013,전라북도_정읍시,45180,4,47,1177
2014,전라북도_정읍시,45180,29,329,1134
2015,전라북도_정읍시,45180,31,383,1237
2016,전라북도_정읍시,45180,30,363,1211
2017,전라북도_정읍시,45180,55,666,1211
2018,전라북도_정읍시,45180,54,660,1204
2019,전라북도_정읍시,45180,25,298,1194
2020,전라북도_정읍시,45180,26.3,318,1209
2021,전라북도_정읍시,45180,4.2,52,1236
2011,제주도,99999,2806,44614,1590
2012,제주도,99999,3016,40557,1345
2013,제주도,99999,3394,55639,1639
2014,제주도,99999,2980,45082,1513
2015,제주도,99999,2124,31129,1466
2016,제주도,99999,2125,28413,1337
2017,제주도,99999,2230,32230,1445
2018,제주도,99999,2146,27453,1279
2019,제주도,99999,2116,28491,1346
2020,제주도,99999,2122,31291,1475
2021,제주도,99999,1337,19415,1452
2013,충청남도_공주시,44150,78.8,869.3,1103.6
2014,충청남도_공주시,44150,-,-,-
2015,충청남도_공주시,44150,91.7,424.7,463.1
2016,충청남도_공주시,44150,93.8,435.3,464.1
2017,충청남도_공주시,44150,99.9,1226.3,1228
2018,충청남도_공주시,44150,163,1961,1203.1
2019,충청남도_공주시,44150,162.5,2165.3,1332.5
2020,충청남도_공주시,44150,124.6,1744.4,1400
2021,충청남도_공주시,44150,134,1561.6,1165.4
2013,충청남도_금산군,44710,30,620,2067
2014,충청남도_금산군,44710,29.9,621,2067
2015,충청남도_금산군,44710,30,620,2066
2016,충청남도_금산군,44710,32,254,794
2017,충청남도_금산군,44710,28,596,2128
2018,충청남도_금산군,44710,20,460,2300
2019,충청남도_금산군,44710,15,320,2133.3
2020,충청남도_금산군,44710,1.5,18.3,1220
2021,충청남도_금산군,44710,1.3,15,1153.8
2013,충청남도_당진시,44270,124.5,1567.9,1248
2014,충청남도_당진시,44270,118,1503,1273.7
2015,충청남도_당진시,44270,112.1,1427.8,1273.6
2016,충청남도_당진시,44270,101,1205,1193.1
2013,충청남도_부여군,44760,10,111,1110
2014,충청남도_부여군,44760,9,121.5,1350
2015,충청남도_부여군,44760,20,162,810
2016,충청남도_부여군,44760,19.2,273.2,1423
2017,충청남도_부여군,44760,21.4,277,1294
2018,충청남도_부여군,44760,21.7,278,1281
2019,충청남도_부여군,44760,17.4,225.5,1294
2020,충청남도_부여군,44760,20.3,300.7,1479
2021,충청남도_부여군,44760,20.4,301.8,1477
2013,충청남도_서산시,44210,1163,13985,1202.5
2014,충청남도_서산시,44210,1017,14777,1453
2015,충청남도_서산시,44210,1018.1,14780.8,1451.8
2016,충청남도_서산시,44210,1140.2,13477.2,1182
2017,충청남도_서산시,44210,1140,13698,1201.6
2018,충청남도_서산시,44210,1113,14150,1271.3
2019,충청남도_서산시,44210,1331,9085,682.6
2020,충청남도_서산시,44210,1180,14910,1263.6
2021,충청남도_서산시,44210,1220.4,14462.7,1185.1
2013,충청남도_아산시,44200,63,472,749.2
2014,충청남도_아산시,44200,60.3,443.4,735.3
2015,충청남도_아산시,44200,45.9,324.3,706.5
2016,충청남도_아산시,44200,47.9,352.6,736.1
2017,충청남도_아산시,44200,48,350,729.2
2018,충청남도_아산시,44200,84.5,627.1,742.1
2019,충청남도_아산시,44200,76.5,576.3,753.3
2020,충청남도_아산시,44200,83,619,745.8
2021,충청남도_아산시,44200,83,619,745.8
2012,충청남도_예산군,44810,181,1379,762
2013,충청남도_예산군,44810,160,1232,770
2014,충청남도_예산군,44810,165,1265,766.7
2015,충청남도_예산군,44810,130,1053,810
2016,충청남도_예산군,44810,106.8,1103.8,1033.5
2017,충청남도_예산군,44810,92.1,832.5,903.9
2018,충청남도_예산군,44810,93.5,1953.8,2089.6
2019,충청남도_예산군,44810,93.7,12782,13641.4
2020,충청남도_예산군,44810,67,757,1129.9
2021,충청남도_예산군,44810,65.5,1663.7,2540
2013,충청남도_태안군,44825,1011,14113.6,1396
2014,충청남도_태안군,44825,927.7,11364.5,1225
2015,충청남도_태안군,44825,861.9,10203.2,1183.8
2016,충청남도_태안군,44825,926,11280.3,1200
2017,충청남도_태안군,44825,953.1,11437.2,1280
2018,충청남도_태안군,44825,980,12691,1295
2019,충청남도_태안군,44825,911,11752,1404
2020,충청남도_태안군,44825,909,11881,1307
2021,충청남도_태안군,44825,891.2,10366,1163.2
2013,충청남도_홍성군,44800,11,190,1696
2014,충청남도_홍성군,44800,10,76,751
2015,충청남도_홍성군,44800,74.6,713.8,957.1
2016,충청남도_홍성군,44800,72.2,709.9,983.2
2017,충청남도_홍성군,44800,70,689,984.3
2018,충청남도_홍성군,44800,73.8,705,955.3
2019,충청남도_홍성군,44800,80.6,967.7,1200
2020,충청남도_홍성군,44800,89.3,1071,1200
2021,충청남도_홍성군,44800,88.6,911,1028
2013,충청북도_단양군,43800,298.9,2126,711.3
2014,충청북도_단양군,43800,98.1,738.7,3417
2015,충청북도_단양군,43800,314.5,6460.2,2054.1
2016,충청북도_단양군,43800,202,1713,848
2017,충청북도_단양군,43800,219.1,1887,861.3
2018,충청북도_단양군,43800,219.1,1887,861.3
2019,충청북도_단양군,43800,271.6,2308,850
2020,충청북도_단양군,43800,289.5,2908.4,1004.6
2021,충청북도_단양군,43800,273.3,3152.1,1153.4
2013,충청북도_보은군,43720,41.7,346.1,1153.7
2014,충청북도_보은군,43720,42.5,352.7,829.9
2015,충청북도_보은군,43720,60.7,503.7,829.8
2016,충청북도_보은군,43720,62,511.5,825
2017,충청북도_보은군,43720,61,512.8,840.7
2018,충청북도_보은군,43720,60.4,517.9,857.5
2019,충청북도_보은군,43720,78.5,983.6,1253
2020,충청북도_보은군,43720,79.4,995.5,1253.8
2021,충청북도_보은군,43720,65.2,1755.3,2692.2
2013,충청북도_옥천군,43730,6,45.9,765.5
2014,충청북도_옥천군,43730,5.8,44.1,760.3
2015,충청북도_옥천군,43730,22.6,172,761.1
2016,충청북도_옥천군,43730,21.3,161.5,758.2
2017,충청북도_옥천군,43730,18.8,142.1,755.9
2018,충청북도_옥천군,43730,10,129,1290
2019,충청북도_옥천군,43730,8.7,73,839
2020,충청북도_옥천군,43730,20.4,172.3,844.6
2021,충청북도_옥천군,43730,19.1,161.7,847
2013,충청북도_음성군,43770,24,170,710
2014,충청북도_음성군,43770,21,153,730
2015,충청북도_음성군,43770,17.2,126,730
2016,충청북도_음성군,43770,17.2,191,1110
2017,충청북도_음성군,43770,1.8,19,1056
2018,충청북도_음성군,43770,12,132,1100
2019,충청북도_음성군,43770,17.5,184,1051.4
2020,충청북도_음성군,43770,19.6,201,1070
2021,충청북도_음성군,43770,20.7,215,1039
2013,충청북도_제천시,43150,35.9,320,733
2014,충청북도_제천시,43150,-,-,-
2015,충청북도_제천시,43150,-,-,-
2016,충청북도_제천시,43150,17,125,738
2017,충청북도_제천시,43150,32,285,891
2018,충청북도_제천시,43150,25,180,720
2019,충청북도_제천시,43150,22,206,935
2020,충청북도_제천시,43150,21.3,219,1028
2021,충청북도_제천시,43150,21,175,833
2013,충청북도_증평군,43745,15.2,152,1000
2014,충청북도_증평군,43745,15,150,1000
2015,충청북도_증평군,43745,13,132,1031
2016,충청북도_증평군,43745,110,1078,980
2017,충청북도_증평군,43745,17,168,988.2
2018,충청북도_증평군,43745,4,40,1106
2019,충청북도_증평군,43745,4.4,53.2,1210
2020,충청북도_증평군,43745,3.4,41.1,1209
2021,충청북도_증평군,43745,3,27.7,923.3
2013,충청북도_진천군,43750,34,244,718
2014,충청북도_진천군,43750,35,250,714
2015,충청북도_진천군,43750,34,243,715
2016,충청북도_진천군,43750,36,255,708
2017,충청북도_진천군,43750,42,253,602
2018,충청북도_진천군,43750,44,257,584
2019,충청북도_진천군,43750,38,233,613
2020,충청북도_진천군,43750,29,179,617.2
2021,충청북도_진천군,43750,13,80,615
,,,,,
